date,open,high,low,close,volume,ma50,ma200
2026-03-04 10:40:00,336.72,337.57,336.37,337.45,440400,,
2026-03-04 10:45:00,337.38,338.51,337.28,338.14,379200,,
2026-03-04 10:50:00,338.15,339.51,338.1,338.47,420000,,
2026-03-04 10:55:00,338.71,338.89,337.92,337.92,278200,,
2026-03-04 11:00:00,337.92,337.92,336.7,336.83,393400,,
2026-03-04 11:05:00,336.8,337.02,336.39,336.4,379900,,
2026-03-04 11:10:00,336.37,337.12,336.33,336.8,413000,,
2026-03-04 11:15:00,336.78,337.23,336.0,336.05,552800,,
2026-03-04 11:20:00,336.03,337.13,336.03,337.12,271600,,
2026-03-04 11:25:00,337.1,337.11,335.3,335.51,954200,,
2026-03-04 11:30:00,335.47,335.67,334.58,334.77,971500,,
2026-03-04 13:05:00,334.74,336.28,334.31,334.32,845200,,
2026-03-04 13:10:00,334.32,335.68,334.2,335.62,518300,,
2026-03-04 13:15:00,335.68,336.91,335.67,336.18,537700,,
2026-03-04 13:20:00,336.18,337.52,335.76,337.31,407500,,
2026-03-04 13:25:00,337.23,337.31,336.0,336.33,351800,,
2026-03-04 13:30:00,336.38,336.87,336.04,336.31,305000,,
2026-03-04 13:35:00,336.1,336.96,336.0,336.67,242700,,
2026-03-04 13:40:00,336.67,338.1,336.65,338.04,320100,,
2026-03-04 13:45:00,337.97,338.55,337.18,337.18,416400,,
2026-03-04 13:50:00,337.19,337.98,337.04,337.72,245200,,
2026-03-04 13:55:00,337.75,338.4,337.64,338.19,250100,,
2026-03-04 14:00:00,338.18,338.41,337.65,338.01,240200,,
2026-03-04 14:05:00,337.99,337.99,336.78,336.95,253100,,
2026-03-04 14:10:00,336.9,337.26,336.57,336.96,264600,,
2026-03-04 14:15:00,336.92,337.8,336.57,337.51,257400,,
2026-03-04 14:20:00,337.51,338.3,337.51,337.94,281000,,
2026-03-04 14:25:00,337.91,338.37,337.65,337.79,267000,,
2026-03-04 14:30:00,337.8,338.41,337.8,338.0,274200,,
2026-03-04 14:35:00,338.2,338.82,337.88,338.8,353400,,
2026-03-04 14:40:00,338.8,338.99,338.39,338.96,336500,,
2026-03-04 14:45:00,338.96,338.98,338.39,338.43,494100,,
2026-03-04 14:50:00,338.43,338.58,338.12,338.43,421400,,
2026-03-04 14:55:00,338.44,338.88,338.36,338.77,457900,,
2026-03-04 15:00:00,338.79,338.96,338.78,338.9,556000,,
2026-03-05 09:35:00,344.58,346.53,343.38,344.73,2855800,,
2026-03-05 09:40:00,344.65,344.65,342.66,343.61,864700,,
2026-03-05 09:45:00,343.83,345.29,343.52,344.99,677400,,
2026-03-05 09:50:00,344.99,346.66,344.4,344.41,1156400,,
2026-03-05 09:55:00,344.25,344.58,343.65,344.26,391700,,
2026-03-05 10:00:00,344.26,345.19,343.95,344.99,391400,,
2026-03-05 10:05:00,345.16,348.43,345.16,347.0,1597300,,
2026-03-05 10:10:00,347.0,348.12,346.66,346.66,601600,,
2026-03-05 10:15:00,346.94,348.99,346.94,348.42,928700,,
2026-03-05 10:20:00,348.42,350.2,348.0,349.89,1868400,,
2026-03-05 10:25:00,349.87,350.39,348.29,348.46,667400,,
2026-03-05 10:30:00,348.44,348.98,348.23,348.29,366600,,
2026-03-05 10:35:00,348.25,349.38,348.18,349.27,371200,,
2026-03-05 10:40:00,349.22,350.2,348.85,349.94,804300,,
2026-03-05 10:45:00,350.0,350.3,348.93,349.16,473600,340.1772,
2026-03-05 10:50:00,349.18,349.9,348.93,349.49,282800,340.41799999999995,
2026-03-05 10:55:00,349.69,350.0,349.47,349.78,321500,340.6508,
2026-03-05 11:00:00,349.79,350.26,349.76,350.26,480500,340.8866,
2026-03-05 11:05:00,350.68,351.0,349.82,350.38,835800,341.1358,
2026-03-05 11:10:00,350.49,350.49,349.59,349.75,343700,341.39419999999996,
2026-03-05 11:15:00,349.75,349.75,348.55,349.1,388800,341.6482,
2026-03-05 11:20:00,349.03,350.33,349.03,349.7,325500,341.9062,
2026-03-05 11:25:00,349.7,350.16,349.69,350.05,186200,342.18619999999993,
2026-03-05 11:30:00,350.0,350.38,349.66,349.66,273500,342.43699999999995,
2026-03-05 13:05:00,349.71,352.0,349.56,350.52,1657300,342.73720000000003,
2026-03-05 13:10:00,350.65,353.84,350.5,353.21,1410900,343.106,
2026-03-05 13:15:00,353.21,353.85,352.71,352.72,639700,343.474,
2026-03-05 13:20:00,352.7,352.83,351.86,352.15,451100,343.8046,
2026-03-05 13:25:00,352.13,352.18,351.66,352.08,361000,344.1225999999999,
2026-03-05 13:30:00,352.07,352.3,351.94,352.02,326900,344.4168,
2026-03-05 13:35:00,352.0,352.86,351.99,352.17,434700,344.7336,
2026-03-05 13:40:00,352.15,352.56,351.69,352.35,510000,345.05440000000004,
2026-03-05 13:45:00,352.24,353.47,352.0,353.47,719800,345.3904,
2026-03-05 13:50:00,353.5,353.5,351.41,351.41,497200,345.6578,
2026-03-05 13:55:00,351.09,351.51,350.21,350.21,515000,345.9184,
2026-03-05 14:00:00,350.2,350.2,349.65,349.71,518200,346.1582,
2026-03-05 14:05:00,349.86,349.86,349.32,349.33,441100,346.381,
2026-03-05 14:10:00,349.32,349.32,348.51,348.51,463900,346.591,
2026-03-05 14:15:00,348.5,348.85,348.08,348.6,462400,346.824,
2026-03-05 14:20:00,348.74,349.13,348.09,349.04,385400,347.06559999999996,
2026-03-05 14:25:00,349.0,349.61,348.55,349.61,371700,347.30760000000004,
2026-03-05 14:30:00,349.68,349.97,349.16,349.23,369300,347.5334,
2026-03-05 14:35:00,349.24,349.28,348.74,349.16,369100,347.76079999999996,
2026-03-05 14:40:00,349.18,349.38,348.95,349.11,350100,347.98299999999995,
2026-03-05 14:45:00,349.11,350.39,348.93,350.28,529000,348.2126,
2026-03-05 14:50:00,350.28,350.4,349.66,349.66,529100,348.4266,
2026-03-05 14:55:00,349.57,350.03,349.57,350.0,492200,348.658,
2026-03-05 15:00:00,349.98,350.29,349.98,350.25,746300,348.8944,
2026-03-06 09:35:00,349.0,349.0,344.66,346.09,2308400,349.0408,
2026-03-06 09:40:00,346.02,349.88,345.8,348.97,912000,349.2422,
2026-03-06 09:45:00,348.95,349.19,347.3,347.31,797000,349.29380000000003,
2026-03-06 09:50:00,347.42,348.17,346.96,347.46,459600,349.37080000000003,
2026-03-06 09:55:00,347.73,349.46,347.73,348.82,464100,349.44739999999996,
2026-03-06 10:00:00,349.01,350.0,348.65,349.1,338500,349.5412,
2026-03-06 10:05:00,349.2,350.26,348.75,349.69,407500,349.6498,
2026-03-06 10:10:00,349.71,351.18,349.71,350.16,426900,349.7532,
2026-03-06 10:15:00,350.16,351.5,350.13,350.76,493200,349.8284,
2026-03-06 10:20:00,350.88,351.17,350.06,350.76,296200,349.9104,
2026-03-06 10:25:00,350.93,351.36,350.6,351.08,334300,349.9636,
2026-03-06 10:30:00,351.12,351.4,350.81,351.24,385700,349.9906,
2026-03-06 10:35:00,351.34,351.49,350.28,351.3,322600,350.0474,
2026-03-06 10:40:00,351.35,351.6,351.06,351.39,239300,350.10939999999994,
2026-03-06 10:45:00,351.41,352.36,351.14,352.07,342800,350.16540000000003,
2026-03-06 10:50:00,352.16,353.27,352.13,353.27,415200,350.23199999999997,
2026-03-06 10:55:00,353.28,353.3,352.5,352.5,333900,350.29879999999997,
2026-03-06 11:00:00,352.46,352.63,352.22,352.36,186100,350.3562,
2026-03-06 11:05:00,352.55,354.44,352.55,354.15,620300,350.4436,
2026-03-06 11:10:00,354.15,354.78,354.0,354.06,478000,350.51959999999997,
2026-03-06 11:15:00,354.05,354.19,353.74,353.82,241100,350.5884,
2026-03-06 11:20:00,353.81,354.02,353.67,354.0,239600,350.67339999999996,
2026-03-06 11:25:00,354.0,354.0,353.65,353.84,164000,350.7682,
2026-03-06 11:30:00,353.84,353.84,353.33,353.38,158100,350.8418,
2026-03-06 13:05:00,353.34,354.87,353.18,354.07,663900,350.92220000000003,
2026-03-06 13:10:00,354.08,354.72,354.05,354.19,284600,351.01279999999997,
2026-03-06 13:15:00,354.19,354.75,354.14,354.29,348700,351.0882,
2026-03-06 13:20:00,354.35,355.3,354.35,354.82,910100,351.1204,
2026-03-06 13:25:00,354.96,355.34,354.61,354.73,338800,351.1606,
2026-03-06 13:30:00,354.69,354.87,354.39,354.4,239300,351.2056,
2026-03-06 13:35:00,354.42,356.82,354.42,356.22,1045600,351.2884,
2026-03-06 13:40:00,356.35,356.59,356.16,356.16,391500,351.37120000000004,
2026-03-06 13:45:00,356.36,356.42,355.85,355.93,263500,351.4464,
2026-03-06 13:50:00,355.88,356.0,355.62,355.66,275100,351.5126,
2026-03-06 13:55:00,355.67,356.88,355.63,356.54,408000,351.574,
2026-03-06 14:00:00,356.46,357.02,356.15,356.76,446100,351.681,
2026-03-06 14:05:00,356.76,356.76,356.23,356.25,266900,351.8018,
2026-03-06 14:10:00,356.26,356.74,356.21,356.7,184700,351.94160000000005,
2026-03-06 14:15:00,356.69,356.7,356.16,356.16,254600,352.0782,
2026-03-06 14:20:00,356.1,356.1,355.42,355.45,316600,352.21700000000004,
2026-03-06 14:25:00,355.47,355.68,355.01,355.66,222600,352.3582,
2026-03-06 14:30:00,355.71,355.8,355.2,355.25,249400,352.48240000000004,
2026-03-06 14:35:00,355.2,355.6,355.11,355.34,305200,352.59700000000004,
2026-03-06 14:40:00,355.34,355.95,355.29,355.57,397900,352.72380000000004,
2026-03-06 14:45:00,355.55,355.59,355.3,355.31,276700,352.84680000000003,
2026-03-06 14:50:00,355.31,355.77,355.1,355.69,443600,352.9784,
2026-03-06 14:55:00,355.7,355.81,355.45,355.79,490900,353.08859999999993,
