date,open,high,low,close,volume,ma50,ma200
2026-03-20 13:25:00,10.82,10.83,10.81,10.82,1086022,,
2026-03-20 13:30:00,10.81,10.82,10.81,10.81,654700,,
2026-03-20 13:35:00,10.82,10.82,10.81,10.82,954000,,
2026-03-20 13:40:00,10.82,10.82,10.81,10.82,852900,,
2026-03-20 13:45:00,10.82,10.82,10.81,10.81,517100,,
2026-03-20 13:50:00,10.81,10.82,10.81,10.82,1073300,,
2026-03-20 13:55:00,10.82,10.82,10.8,10.81,2905578,,
2026-03-20 14:00:00,10.81,10.81,10.8,10.8,769400,,
2026-03-20 14:05:00,10.8,10.81,10.79,10.81,2723800,,
2026-03-20 14:10:00,10.8,10.82,10.8,10.82,1462000,,
2026-03-20 14:15:00,10.82,10.82,10.8,10.82,1226600,,
2026-03-20 14:20:00,10.82,10.82,10.8,10.8,732000,,
2026-03-20 14:25:00,10.81,10.81,10.8,10.81,667300,,
2026-03-20 14:30:00,10.8,10.81,10.79,10.79,1832900,,
2026-03-20 14:35:00,10.79,10.8,10.78,10.8,1880000,,
2026-03-20 14:40:00,10.8,10.8,10.78,10.79,1603100,,
2026-03-20 14:45:00,10.78,10.79,10.78,10.78,1530600,,
2026-03-20 14:50:00,10.78,10.79,10.76,10.78,4990900,,
2026-03-20 14:55:00,10.77,10.78,10.76,10.76,2842932,,
2026-03-20 15:00:00,10.76,10.78,10.76,10.77,4526300,,
2026-03-23 09:35:00,10.68,10.68,10.58,10.59,21751100,,
2026-03-23 09:40:00,10.59,10.6,10.48,10.5,15262500,,
2026-03-23 09:45:00,10.49,10.55,10.48,10.54,9987280,,
2026-03-23 09:50:00,10.54,10.58,10.54,10.57,3017260,,
2026-03-23 09:55:00,10.58,10.62,10.57,10.59,7143463,,
2026-03-23 10:00:00,10.6,10.64,10.59,10.59,5036200,,
2026-03-23 10:05:00,10.6,10.61,10.58,10.59,3355500,,
2026-03-23 10:10:00,10.59,10.62,10.59,10.62,1950300,,
2026-03-23 10:15:00,10.61,10.63,10.6,10.61,3171300,,
2026-03-23 10:20:00,10.62,10.63,10.6,10.62,2460000,,
2026-03-23 10:25:00,10.62,10.62,10.6,10.6,3121400,,
2026-03-23 10:30:00,10.61,10.63,10.6,10.62,2167300,,
2026-03-23 10:35:00,10.62,10.63,10.58,10.59,4312629,,
2026-03-23 10:40:00,10.59,10.6,10.58,10.59,1444100,,
2026-03-23 10:45:00,10.59,10.59,10.56,10.57,2239800,,
2026-03-23 10:50:00,10.58,10.58,10.55,10.55,1529400,,
2026-03-23 10:55:00,10.56,10.56,10.55,10.55,856200,,
2026-03-23 11:00:00,10.55,10.57,10.55,10.56,1178300,,
2026-03-23 11:05:00,10.56,10.58,10.55,10.57,1371700,,
2026-03-23 11:10:00,10.58,10.58,10.55,10.55,1213200,,
2026-03-23 11:15:00,10.55,10.56,10.55,10.55,587500,,
2026-03-23 11:20:00,10.55,10.57,10.55,10.57,1900700,,
2026-03-23 11:25:00,10.57,10.58,10.56,10.56,1024200,,
2026-03-23 11:30:00,10.56,10.57,10.55,10.55,915000,,
2026-03-23 13:05:00,10.55,10.56,10.54,10.54,2430985,,
2026-03-23 13:10:00,10.55,10.57,10.54,10.54,1917300,,
2026-03-23 13:15:00,10.55,10.55,10.53,10.54,1843615,,
2026-03-23 13:20:00,10.53,10.54,10.52,10.53,2331900,,
2026-03-23 13:25:00,10.52,10.53,10.51,10.51,1930200,,
2026-03-23 13:30:00,10.52,10.53,10.51,10.52,1469300,10.6604,
2026-03-23 13:35:00,10.52,10.52,10.5,10.5,3073900,10.653999999999998,
2026-03-23 13:40:00,10.51,10.52,10.5,10.51,2318732,10.648,
2026-03-23 13:45:00,10.51,10.51,10.5,10.5,2129300,10.641599999999999,
2026-03-23 13:50:00,10.5,10.51,10.49,10.49,3406200,10.635,
2026-03-23 13:55:00,10.5,10.5,10.48,10.5,2255385,10.628799999999998,
2026-03-23 14:00:00,10.5,10.52,10.49,10.51,1513380,10.6226,
2026-03-23 14:05:00,10.51,10.51,10.48,10.49,2572900,10.6162,
2026-03-23 14:10:00,10.49,10.49,10.47,10.47,3382700,10.6096,
2026-03-23 14:15:00,10.48,10.48,10.45,10.47,3437000,10.6028,
2026-03-23 14:20:00,10.47,10.48,10.46,10.47,2931134,10.595799999999999,
2026-03-23 14:25:00,10.47,10.48,10.45,10.48,4623300,10.588999999999999,
2026-03-23 14:30:00,10.47,10.49,10.47,10.47,1877400,10.5824,
2026-03-23 14:35:00,10.48,10.48,10.45,10.45,2361000,10.5752,
2026-03-23 14:40:00,10.45,10.46,10.44,10.46,3098200,10.568599999999998,
2026-03-23 14:45:00,10.45,10.46,10.44,10.45,2392000,10.5616,
2026-03-23 14:50:00,10.45,10.45,10.43,10.44,3522100,10.554599999999999,
2026-03-23 14:55:00,10.45,10.46,10.43,10.46,2264176,10.5482,
2026-03-23 15:00:00,10.46,10.46,10.44,10.45,1930394,10.5416,
2026-03-24 09:35:00,10.52,10.59,10.52,10.57,11108800,10.537799999999999,
2026-03-24 09:40:00,10.57,10.58,10.56,10.58,4492900,10.534,
2026-03-24 09:45:00,10.58,10.65,10.57,10.65,10407696,10.5352,
2026-03-24 09:50:00,10.64,10.65,10.62,10.63,4888400,10.537799999999999,
2026-03-24 09:55:00,10.63,10.66,10.61,10.63,6916322,10.5396,
2026-03-24 10:00:00,10.63,10.65,10.6,10.65,2371460,10.541199999999998,
2026-03-24 10:05:00,10.64,10.72,10.64,10.69,8584980,10.543199999999999,
2026-03-24 10:10:00,10.7,10.75,10.69,10.75,7969380,10.5464,
2026-03-24 10:15:00,10.74,10.76,10.73,10.75,6154000,10.5496,
2026-03-24 10:20:00,10.75,10.75,10.73,10.74,4132130,10.552,
2026-03-24 10:25:00,10.73,10.79,10.73,10.78,8160000,10.555399999999999,
2026-03-24 10:30:00,10.78,10.79,10.77,10.77,3466600,10.558399999999999,
2026-03-24 10:35:00,10.77,10.83,10.76,10.82,8179360,10.5628,
2026-03-24 10:40:00,10.82,10.83,10.82,10.82,2995000,10.566799999999999,
2026-03-24 10:45:00,10.82,10.85,10.82,10.84,4362000,10.571800000000001,
2026-03-24 10:50:00,10.84,10.84,10.83,10.84,1800500,10.5768,
2026-03-24 10:55:00,10.83,10.85,10.83,10.83,4537400,10.581999999999999,
2026-03-24 11:00:00,10.83,10.85,10.83,10.84,2442730,10.5878,
2026-03-24 11:05:00,10.84,10.87,10.83,10.86,5776518,10.594000000000001,
2026-03-24 11:10:00,10.86,10.88,10.85,10.87,4304600,10.6002,
2026-03-24 11:15:00,10.87,10.88,10.85,10.86,2237600,10.606000000000002,
2026-03-24 11:20:00,10.85,10.86,10.83,10.84,1421400,10.6118,
2026-03-24 11:25:00,10.83,10.85,10.83,10.83,1470100,10.6174,
2026-03-24 11:30:00,10.84,10.85,10.82,10.82,1118600,10.6224,
2026-03-24 13:05:00,10.82,10.82,10.8,10.8,3281164,10.6272,
2026-03-24 13:10:00,10.8,10.81,10.78,10.8,2523400,10.632200000000001,
2026-03-24 13:15:00,10.81,10.83,10.81,10.83,984000,10.638,
2026-03-24 13:20:00,10.83,10.84,10.83,10.83,1383420,10.6438,
2026-03-24 13:25:00,10.83,10.84,10.82,10.83,1368580,10.6496,
2026-03-24 13:30:00,10.82,10.83,10.8,10.81,1229400,10.6552,
2026-03-24 13:35:00,10.81,10.82,10.8,10.82,1259000,10.6614,
2026-03-24 13:40:00,10.81,10.84,10.81,10.83,1774280,10.6676,
2026-03-24 13:45:00,10.83,10.84,10.82,10.83,940700,10.6742,
2026-03-24 13:50:00,10.83,10.84,10.83,10.83,779400,10.680600000000002,
2026-03-24 13:55:00,10.83,10.83,10.82,10.82,1224100,10.687000000000001,
2026-03-24 14:00:00,10.82,10.83,10.82,10.82,845100,10.693600000000002,
2026-03-24 14:05:00,10.82,10.84,10.82,10.83,1105776,10.7002,
2026-03-24 14:10:00,10.84,10.85,10.83,10.83,2265500,10.706600000000002,
2026-03-24 14:15:00,10.83,10.85,10.83,10.83,989100,10.713400000000002,
2026-03-24 14:20:00,10.83,10.84,10.83,10.83,882700,10.7206,
2026-03-24 14:25:00,10.84,10.85,10.83,10.85,1033500,10.7282,
2026-03-24 14:30:00,10.84,10.85,10.83,10.84,1352700,10.735600000000002,
2026-03-24 14:35:00,10.83,10.85,10.83,10.84,1284700,10.742799999999999,
2026-03-24 14:40:00,10.84,10.86,10.84,10.85,2949691,10.750399999999999,
2026-03-24 14:45:00,10.86,10.87,10.85,10.87,2426100,10.758799999999999,
2026-03-24 14:50:00,10.87,10.88,10.86,10.88,3956600,10.7672,
2026-03-24 14:55:00,10.88,10.88,10.87,10.87,3836500,10.775599999999999,
2026-03-24 15:00:00,10.88,10.89,10.87,10.88,3251240,10.7844,
2026-03-25 09:35:00,10.89,10.89,10.8,10.82,8131300,10.7916,
2026-03-25 09:40:00,10.81,10.86,10.79,10.84,7912700,10.7994,
2026-03-25 09:45:00,10.84,10.86,10.83,10.86,3170500,10.8052,
2026-03-25 09:50:00,10.85,10.88,10.83,10.83,2652300,10.8102,
2026-03-25 09:55:00,10.84,10.85,10.82,10.85,1328900,10.814200000000001,
2026-03-25 10:00:00,10.84,10.85,10.83,10.84,1338100,10.818400000000002,
2026-03-25 10:05:00,10.83,10.85,10.82,10.84,1359900,10.8226,
2026-03-25 10:10:00,10.85,10.86,10.84,10.84,1003500,10.826400000000001,
2026-03-25 10:15:00,10.85,10.86,10.84,10.86,882200,10.8298,
