date,open,high,low,close,volume,ma50,ma200
2026-02-27 10:15:00,345.28,345.82,345.03,345.17,404400,,
2026-02-27 10:20:00,345.15,345.88,345.11,345.2,347800,,
2026-02-27 10:25:00,345.21,345.21,344.37,344.9,570200,,
2026-02-27 10:30:00,344.88,344.93,344.25,344.54,391200,,
2026-02-27 10:35:00,344.71,345.09,344.05,344.5,389400,,
2026-02-27 10:40:00,344.55,344.82,343.85,344.27,525300,,
2026-02-27 10:45:00,344.36,344.98,344.28,344.83,201100,,
2026-02-27 10:50:00,344.83,345.63,344.78,345.4,289400,,
2026-02-27 10:55:00,345.39,345.39,344.53,344.64,206500,,
2026-02-27 11:00:00,344.66,344.82,344.53,344.66,187600,,
2026-02-27 11:05:00,344.66,344.85,344.13,344.83,310900,,
2026-02-27 11:10:00,344.83,344.89,344.48,344.52,264700,,
2026-02-27 11:15:00,344.52,344.91,344.16,344.16,211900,,
2026-02-27 11:20:00,344.16,344.28,344.02,344.18,246700,,
2026-02-27 11:25:00,344.18,344.77,344.13,344.76,159500,,
2026-02-27 11:30:00,344.7,344.77,344.0,344.09,194300,,
2026-02-27 13:05:00,344.1,344.51,344.1,344.38,272300,,
2026-02-27 13:10:00,344.35,344.61,344.03,344.05,235800,,
2026-02-27 13:15:00,344.1,344.22,344.01,344.14,266000,,
2026-02-27 13:20:00,344.16,344.94,344.12,344.37,252000,,
2026-02-27 13:25:00,344.36,345.2,344.36,345.19,319400,,
2026-02-27 13:30:00,345.19,345.24,344.81,344.85,285100,,
2026-02-27 13:35:00,344.82,345.05,344.1,344.11,406300,,
2026-02-27 13:40:00,344.12,344.19,344.02,344.12,371200,,
2026-02-27 13:45:00,344.24,344.6,344.18,344.54,288000,,
2026-02-27 13:50:00,344.53,344.56,343.5,343.85,791400,,
2026-02-27 13:55:00,343.85,344.13,343.85,344.12,316000,,
2026-02-27 14:00:00,344.13,344.16,343.9,344.15,345400,,
2026-02-27 14:05:00,344.15,344.16,343.83,343.83,314000,,
2026-02-27 14:10:00,343.82,343.94,343.78,343.94,322900,,
2026-02-27 14:15:00,343.93,343.95,343.58,343.74,457100,,
2026-02-27 14:20:00,343.74,343.75,343.11,343.16,619900,,
2026-02-27 14:25:00,343.16,343.16,343.01,343.05,474100,,
2026-02-27 14:30:00,343.04,343.24,342.95,343.02,793100,,
2026-02-27 14:35:00,343.0,343.02,342.89,342.98,467000,,
2026-02-27 14:40:00,342.99,343.02,342.62,342.78,638800,,
2026-02-27 14:45:00,342.8,342.93,342.68,342.91,474200,,
2026-02-27 14:50:00,342.92,343.33,342.92,343.33,549500,,
2026-02-27 14:55:00,343.29,343.91,343.29,343.85,565100,,
2026-02-27 15:00:00,343.86,343.86,342.01,342.01,1933000,,
2026-03-02 09:35:00,341.0,341.39,338.5,338.95,2381800,,
2026-03-02 09:40:00,338.95,339.85,336.68,339.85,1691800,,
2026-03-02 09:45:00,339.85,344.9,339.85,344.59,1586000,,
2026-03-02 09:50:00,344.17,344.38,341.29,341.51,719700,,
2026-03-02 09:55:00,341.52,341.82,340.66,340.89,462500,,
2026-03-02 10:00:00,340.9,341.42,340.0,340.0,419900,,
2026-03-02 10:05:00,340.01,340.67,339.0,339.78,627800,,
2026-03-02 10:10:00,339.76,339.76,338.67,338.67,747300,,
2026-03-02 10:15:00,338.6,338.83,338.14,338.33,590000,,
2026-03-02 10:20:00,338.31,338.31,337.54,337.67,683200,343.3072,
2026-03-02 10:25:00,337.52,338.49,337.17,337.83,550800,343.1604,
2026-03-02 10:30:00,337.74,338.6,337.37,337.46,404400,343.0056000000001,
2026-03-02 10:35:00,337.46,338.5,337.27,338.5,398400,342.87760000000003,
2026-03-02 10:40:00,338.48,339.16,338.38,338.57,447500,342.7582,
2026-03-02 10:45:00,338.57,338.6,338.1,338.46,388900,342.63739999999996,
2026-03-02 10:50:00,338.46,339.97,338.46,338.81,448100,342.52819999999997,
2026-03-02 10:55:00,338.94,339.79,338.52,338.52,316800,342.402,
2026-03-02 11:00:00,338.52,339.26,338.02,338.85,272400,342.27099999999996,
2026-03-02 11:05:00,338.8,340.34,338.59,339.65,249500,342.17119999999994,
2026-03-02 11:10:00,339.66,339.8,339.14,339.3,172200,342.064,
2026-03-02 11:15:00,339.26,339.47,338.52,338.58,180900,341.939,
2026-03-02 11:20:00,338.65,338.95,338.27,338.61,215700,341.8208,
2026-03-02 11:25:00,338.62,339.18,338.35,338.83,277400,341.7142,
2026-03-02 11:30:00,338.99,338.99,338.12,338.49,278400,341.60040000000004,
2026-03-02 13:05:00,338.5,340.19,338.48,339.48,1064200,341.49479999999994,
2026-03-02 13:10:00,339.46,339.8,338.49,339.8,679100,341.40899999999993,
2026-03-02 13:15:00,339.85,341.4,339.73,341.31,894700,341.3476,
2026-03-02 13:20:00,341.34,343.37,340.87,343.25,779300,341.33160000000004,
2026-03-02 13:25:00,343.26,343.3,342.09,342.23,545200,341.29339999999996,
2026-03-02 13:30:00,342.13,342.4,340.2,340.67,793200,341.2194,
2026-03-02 13:35:00,340.89,341.91,340.55,341.08,526600,341.1372,
2026-03-02 13:40:00,341.09,341.56,341.02,341.03,504500,341.0608,
2026-03-02 13:45:00,341.03,341.56,340.46,341.07,680300,341.0,
2026-03-02 13:50:00,341.18,341.8,341.18,341.61,453600,340.9498,
2026-03-02 13:55:00,341.63,341.72,341.0,341.02,526500,340.8794,
2026-03-02 14:00:00,341.01,341.01,340.44,340.73,595100,340.81699999999995,
2026-03-02 14:05:00,340.74,340.91,340.33,340.55,457500,340.7456,
2026-03-02 14:10:00,340.56,340.96,340.49,340.78,427200,340.6782,
2026-03-02 14:15:00,340.64,341.23,340.52,340.66,437800,340.61480000000006,
2026-03-02 14:20:00,340.66,340.95,340.47,340.51,418700,340.54619999999994,
2026-03-02 14:25:00,340.5,340.56,340.21,340.23,428200,340.47600000000006,
2026-03-02 14:30:00,340.25,340.5,340.21,340.36,483900,340.42,
2026-03-02 14:35:00,340.35,340.86,340.25,340.67,463600,340.37239999999997,
2026-03-02 14:40:00,340.67,340.7,340.31,340.31,519900,340.3182,
2026-03-02 14:45:00,340.3,340.3,340.18,340.3,510500,340.2646,
2026-03-02 14:50:00,340.29,340.46,340.2,340.41,522900,340.2172,
2026-03-02 14:55:00,340.43,340.47,340.18,340.32,596800,340.16540000000003,
2026-03-02 15:00:00,340.34,340.34,340.16,340.22,530800,340.1032,
2026-03-03 09:35:00,346.33,349.43,344.03,344.21,4080300,340.1104,
2026-03-03 09:40:00,344.44,346.38,344.44,345.6,1255300,340.1822,
