date,open,high,low,close,volume,ma50,ma200
2026-08-19 13:25:00,389.1,390.43,389.1,389.81,533840,,
2026-08-19 13:30:00,389.78,390.47,389.5,389.85,469288,,
2026-08-19 13:35:00,389.86,390.24,389.57,389.78,316500,,
2026-08-19 13:40:00,389.78,390.79,389.78,390.27,340800,,
2026-08-19 13:45:00,390.31,390.52,389.56,389.7,254500,,
2026-08-19 13:50:00,389.68,389.9,389.02,389.03,283700,,
2026-08-19 13:55:00,389.25,389.82,389.04,389.49,228700,,
2026-08-19 14:00:00,389.49,389.6,389.02,389.16,149100,,
2026-08-19 14:05:00,389.16,389.55,388.8,388.89,345849,,
2026-08-19 14:10:00,388.89,389.5,388.36,388.61,399439,,
2026-08-19 14:15:00,388.62,388.99,388.51,388.78,270500,,
2026-08-19 14:20:00,388.82,389.26,388.54,389.26,421001,,
2026-08-19 14:25:00,389.12,389.5,388.56,388.69,367400,,
2026-08-19 14:30:00,388.9,389.56,388.88,389.19,316805,,
2026-08-19 14:35:00,388.91,389.29,388.56,388.95,466200,,
2026-08-19 14:40:00,388.95,389.07,388.56,389.0,493960,,
2026-08-19 14:45:00,388.78,389.3,388.39,388.44,690600,,
2026-08-19 14:50:00,388.84,389.88,388.71,389.83,595422,,
2026-08-19 14:55:00,389.82,389.88,389.3,389.42,387300,,
2026-08-19 15:00:00,389.45,389.51,389.0,389.0,378566,,
2026-08-20 09:35:00,391.51,391.89,386.71,389.29,2103600,,
2026-08-20 09:40:00,390.0,390.47,388.93,390.33,599854,,
2026-08-20 09:45:00,390.18,390.18,389.0,389.63,493134,,
2026-08-20 09:50:00,389.5,390.33,388.82,389.08,521000,,
2026-08-20 09:55:00,388.85,388.85,386.1,386.66,1068400,,
2026-08-20 10:00:00,386.58,387.42,386.54,386.68,686300,,
2026-08-20 10:05:00,386.68,388.42,386.68,388.22,520731,,
2026-08-20 10:10:00,388.08,389.0,387.94,388.46,560200,,
2026-08-20 10:15:00,388.58,388.58,387.33,387.74,545400,,
2026-08-20 10:20:00,387.78,388.09,387.36,387.85,287180,,
2026-08-20 10:25:00,387.85,388.45,387.4,387.82,251995,,
2026-08-20 10:30:00,387.82,388.81,387.33,388.67,341384,,
2026-08-20 10:35:00,388.67,388.67,386.97,386.98,328600,,
