date,open,high,low,close,volume,ma50,ma200
2026-07-13 13:25:00,357.79,357.92,356.6,357.23,587300,,
2026-07-13 13:30:00,357.22,357.9,356.83,357.08,681380,,
2026-07-13 13:35:00,357.27,359.91,356.91,359.72,812080,,
2026-07-13 13:40:00,359.81,361.98,359.77,361.33,1972620,,
2026-07-13 13:45:00,361.2,361.7,359.84,359.98,670000,,
2026-07-13 13:50:00,359.99,359.99,359.06,359.76,631700,,
2026-07-13 13:55:00,359.77,362.0,359.77,361.25,1168400,,
2026-07-13 14:00:00,361.25,361.55,360.72,361.42,634740,,
2026-07-13 14:05:00,361.4,361.55,360.85,361.13,691000,,
2026-07-13 14:10:00,361.13,361.14,359.99,360.28,685400,,
2026-07-13 14:15:00,360.33,360.8,359.15,359.31,890501,,
2026-07-13 14:20:00,359.24,360.0,359.17,359.9,668740,,
2026-07-13 14:25:00,359.89,360.4,359.61,359.67,579600,,
2026-07-13 14:30:00,359.66,360.01,359.42,359.94,609409,,
2026-07-13 14:35:00,359.92,359.92,358.78,359.0,709900,,
2026-07-13 14:40:00,359.06,359.8,359.06,359.48,628400,,
2026-07-13 14:45:00,359.47,359.6,359.13,359.56,696240,,
2026-07-13 14:50:00,359.59,360.2,359.59,359.82,915380,,
2026-07-13 14:55:00,359.86,359.86,358.88,358.91,792180,,
2026-07-13 15:00:00,359.0,359.24,358.78,359.06,619062,,
2026-07-14 09:35:00,352.6,357.47,352.6,356.08,2736070,,
2026-07-14 09:40:00,356.37,362.26,355.44,361.12,1563628,,
2026-07-14 09:45:00,361.0,361.14,359.14,360.1,1378116,,
2026-07-14 09:50:00,360.08,360.36,357.11,357.95,1023404,,
2026-07-14 09:55:00,357.74,359.57,357.34,358.85,943180,,
2026-07-14 10:00:00,358.97,361.36,358.0,360.43,1227356,,
2026-07-14 10:05:00,360.01,360.72,358.6,360.16,744500,,
2026-07-14 10:10:00,360.42,360.7,358.51,359.48,759924,,
2026-07-14 10:15:00,359.31,359.36,357.29,357.98,753140,,
2026-07-14 10:20:00,357.98,359.99,356.4,359.93,940907,,
2026-07-14 10:25:00,359.77,361.4,359.29,361.01,740320,,
2026-07-14 10:30:00,361.01,361.02,359.5,360.61,580400,,
2026-07-14 10:35:00,360.63,360.67,358.12,358.12,524828,,
2026-07-14 10:40:00,358.11,358.46,357.35,358.32,553700,,
2026-07-14 10:45:00,358.33,358.86,357.74,357.79,491780,,
2026-07-14 10:50:00,357.78,358.36,356.76,357.04,595192,,
2026-07-14 10:55:00,357.05,358.78,356.4,358.41,626800,,
2026-07-14 11:00:00,358.41,358.66,356.23,356.66,625000,,
2026-07-14 11:05:00,356.82,357.88,356.37,356.96,531860,,
2026-07-14 11:10:00,356.97,357.35,355.59,356.04,696000,,
2026-07-14 11:15:00,356.03,356.03,354.67,355.39,856000,,
2026-07-14 11:20:00,355.25,355.5,353.67,354.12,738700,,
2026-07-14 11:25:00,354.08,354.13,353.18,353.66,796480,,
2026-07-14 11:30:00,353.59,355.06,353.26,355.0,742396,,
2026-07-14 13:05:00,355.24,358.12,355.24,356.52,1274283,,
2026-07-14 13:10:00,356.57,360.55,356.26,360.54,980700,,
2026-07-14 13:15:00,360.56,361.82,359.7,360.64,1312176,,
2026-07-14 13:20:00,360.66,360.99,359.23,360.03,851960,,
2026-07-14 13:25:00,360.07,362.0,360.07,361.33,1210100,,
2026-07-14 13:30:00,361.62,361.62,360.45,360.45,809400,358.89099999999996,
2026-07-14 13:35:00,360.42,362.49,360.4,361.8,1404541,358.9824,
2026-07-14 13:40:00,361.89,363.0,361.17,363.0,1304205,359.10079999999994,
2026-07-14 13:45:00,363.14,363.14,361.94,362.56,912270,359.1576,
2026-07-14 13:50:00,362.34,362.61,361.68,361.94,671574,359.16979999999995,
2026-07-14 13:55:00,362.04,362.48,360.88,362.48,748500,359.2198,
2026-07-14 14:00:00,362.5,364.1,362.03,363.43,1203550,359.29320000000007,
2026-07-14 14:05:00,363.46,364.63,362.51,362.99,840462,359.32800000000003,
2026-07-14 14:10:00,362.99,363.61,362.58,362.59,602900,359.3514,
2026-07-14 14:15:00,362.59,363.66,362.57,363.56,693500,359.4,
2026-07-14 14:20:00,363.45,363.87,362.96,363.58,763105,359.466,
2026-07-14 14:25:00,363.32,363.67,363.1,363.26,630200,359.545,
2026-07-14 14:30:00,363.26,363.3,362.34,362.39,681200,359.5948,
2026-07-14 14:35:00,362.39,363.71,362.39,363.48,825900,359.671,
2026-07-14 14:40:00,363.45,364.0,363.32,363.89,796407,359.75,
2026-07-14 14:45:00,363.93,364.05,362.95,363.45,898400,359.839,
2026-07-14 14:50:00,363.45,363.98,363.35,363.66,813669,359.92260000000005,
2026-07-14 14:55:00,363.63,364.11,363.39,364.02,984894,360.0118,
2026-07-14 15:00:00,364.01,364.16,363.86,364.01,1248060,360.0956,
2026-07-15 09:35:00,368.01,374.01,363.83,374.01,3848857,360.3976,
2026-07-15 09:40:00,374.43,375.0,372.0,374.67,3123423,360.7098,
2026-07-15 09:45:00,374.65,375.85,372.86,375.69,2058576,361.102,
2026-07-15 09:50:00,375.69,375.72,374.15,374.27,1268900,361.365,
2026-07-15 09:55:00,374.28,378.08,374.17,377.59,1829722,361.71479999999997,
2026-07-15 10:00:00,377.52,379.99,377.0,379.76,1903799,362.151,
2026-07-15 10:05:00,379.83,379.83,377.09,377.39,1024981,362.5218,
2026-07-15 10:10:00,377.35,377.65,376.14,376.14,691221,362.836,
2026-07-15 10:15:00,376.17,377.17,375.55,377.02,635040,363.1732,
2026-07-15 10:20:00,376.93,377.4,375.82,377.1,640300,363.5256,
2026-07-15 10:25:00,377.22,377.5,376.55,377.39,654200,363.91380000000004,
2026-07-15 10:30:00,377.39,378.22,376.5,376.5,718922,364.24520000000007,
2026-07-15 10:35:00,376.49,377.66,376.11,377.48,500767,364.5746,
2026-07-15 10:40:00,377.45,378.77,377.45,378.2,551617,364.9264,
2026-07-15 10:45:00,378.2,378.2,376.94,377.96,372959,365.3232,
2026-07-15 10:50:00,377.98,378.52,377.58,378.34,583401,365.72360000000003,
2026-07-15 10:55:00,378.37,378.37,376.84,377.0,429500,366.10780000000005,
2026-07-15 11:00:00,377.01,377.04,376.5,376.91,370400,366.50520000000006,
2026-07-15 11:05:00,377.0,377.0,375.92,376.9,452400,366.875,
2026-07-15 11:10:00,376.91,377.27,376.53,377.2,548265,367.2858,
2026-07-15 11:15:00,377.25,378.0,376.85,377.99,441380,367.7064,
2026-07-15 11:20:00,378.0,378.0,376.41,376.65,337400,368.1186,
2026-07-15 11:25:00,376.66,377.49,376.66,377.34,385900,368.55760000000004,
2026-07-15 11:30:00,377.35,377.97,376.96,377.9,273000,369.0332,
2026-07-15 13:05:00,378.0,378.18,375.73,375.8,951500,369.476,
2026-07-15 13:10:00,375.8,375.8,373.69,374.55,704300,369.86699999999996,
2026-07-15 13:15:00,374.6,375.32,374.26,374.33,545840,370.2232,
2026-07-15 13:20:00,374.33,375.52,374.33,375.03,464235,370.51300000000003,
2026-07-15 13:25:00,375.02,376.07,374.98,375.1,405700,370.8021999999999,
2026-07-15 13:30:00,375.09,375.47,374.5,374.65,420419,371.0946,
2026-07-15 13:35:00,374.67,375.83,374.67,375.4,434800,371.37600000000003,
2026-07-15 13:40:00,375.36,375.52,374.8,375.29,362800,371.6728,
2026-07-15 13:45:00,375.39,375.56,374.98,375.56,377560,371.94800000000004,
2026-07-15 13:50:00,375.56,375.8,374.59,374.8,438000,372.184,
2026-07-15 13:55:00,374.73,375.24,374.73,374.85,352600,372.42980000000006,
2026-07-15 14:00:00,374.68,374.7,374.23,374.4,309700,372.67900000000003,
2026-07-15 14:05:00,374.4,374.4,373.4,373.54,641200,372.9002,
2026-07-15 14:10:00,373.58,373.63,372.82,372.82,372300,373.088,
2026-07-15 14:15:00,372.88,373.51,372.52,373.32,551020,373.2946,
2026-07-15 14:20:00,373.28,374.09,373.04,373.84,398060,373.51959999999997,
2026-07-15 14:25:00,373.87,374.09,373.8,374.04,410798,373.7292,
2026-07-15 14:30:00,374.03,374.62,373.9,374.0,499000,373.93760000000003,
2026-07-15 14:35:00,374.06,374.08,373.29,373.66,475200,374.1456,
2026-07-15 14:40:00,373.67,374.0,373.55,373.98,505082,374.37739999999997,
2026-07-15 14:45:00,373.83,373.97,373.61,373.84,553500,374.58459999999997,
2026-07-15 14:50:00,373.85,373.91,373.1,373.28,569000,374.7724,
2026-07-15 14:55:00,373.29,373.63,373.2,373.37,741415,374.9708,
2026-07-15 15:00:00,373.31,373.51,373.0,373.0,720299,375.1576,
2026-07-16 09:35:00,369.48,370.2,365.98,367.67,2911231,375.2306,
2026-07-16 09:40:00,367.34,367.34,364.6,366.82,1741240,375.2868,
2026-07-16 09:45:00,366.69,370.04,366.33,370.0,973351,375.2066,
2026-07-16 09:50:00,370.24,370.97,369.33,369.69,698444,375.10699999999997,
2026-07-16 09:55:00,369.6,370.9,369.38,369.8,445403,374.98920000000004,
2026-07-16 10:00:00,369.66,370.78,368.04,369.32,450820,374.89020000000005,
2026-07-16 10:05:00,369.35,369.38,367.68,367.95,389600,374.6974000000001,
2026-07-16 10:10:00,367.87,369.23,367.35,369.17,388500,374.4856,
2026-07-16 10:15:00,369.06,369.06,366.78,367.1,536200,374.27979999999997,
2026-07-16 10:20:00,367.08,368.37,366.56,368.14,437700,374.11980000000005,
2026-07-16 10:25:00,368.39,370.31,368.39,369.34,516480,373.9662,
2026-07-16 10:30:00,369.49,370.38,369.09,370.38,444400,373.8318,
2026-07-16 10:35:00,370.26,373.37,370.21,373.33,610900,373.75059999999996,
2026-07-16 10:40:00,373.49,374.99,373.05,373.56,685202,373.69179999999994,
2026-07-16 10:45:00,373.56,374.15,373.25,373.45,447200,373.61119999999994,
2026-07-16 10:50:00,373.49,373.82,372.19,372.36,405800,373.49440000000004,
2026-07-16 10:55:00,372.36,372.86,371.49,372.61,354660,373.38739999999996,
2026-07-16 11:00:00,372.61,373.11,372.33,372.76,265600,373.27579999999995,
2026-07-16 11:05:00,372.69,372.88,372.0,372.51,232600,373.186,
2026-07-16 11:10:00,372.52,373.82,372.52,373.43,390581,373.1164,
2026-07-16 11:15:00,373.43,373.44,372.09,372.09,342000,373.02020000000005,
2026-07-16 11:20:00,372.02,372.6,371.26,371.31,249200,372.9024,
2026-07-16 11:25:00,371.32,371.63,370.68,371.02,267500,372.763,
2026-07-16 11:30:00,371.32,372.99,371.29,372.99,350915,372.68980000000005,
2026-07-16 13:05:00,372.96,373.01,371.13,371.83,394500,372.57959999999997,
2026-07-16 13:10:00,371.93,372.2,370.13,370.3,349700,372.4275999999999,
2026-07-16 13:15:00,370.4,371.51,370.07,371.39,275100,372.3394,
2026-07-16 13:20:00,371.32,371.58,370.15,370.74,322300,372.2632,
2026-07-16 13:25:00,370.88,371.99,370.76,371.6,246700,372.2086,
2026-07-16 13:30:00,371.67,371.69,370.56,370.56,270300,372.1192,
2026-07-16 13:35:00,370.45,371.23,370.4,371.0,260500,372.0372,
2026-07-16 13:40:00,371.1,371.22,369.8,370.0,402000,371.94419999999997,
2026-07-16 13:45:00,370.0,370.07,369.03,369.74,308100,371.83099999999996,
2026-07-16 13:50:00,369.83,370.0,369.22,369.5,292080,371.71520000000004,
2026-07-16 13:55:00,369.6,370.58,368.99,369.13,388700,371.58660000000003,
2026-07-16 14:00:00,369.13,369.4,367.94,368.04,427121,371.4514,
2026-07-16 14:05:00,368.04,369.47,368.04,368.99,337100,371.3342,
2026-07-16 14:10:00,368.77,369.05,367.72,367.9,346500,371.20419999999996,
2026-07-16 14:15:00,367.9,368.38,367.53,367.53,314200,371.084,
2026-07-16 14:20:00,367.62,367.79,367.15,367.15,355200,370.9706,
2026-07-16 14:25:00,367.15,367.44,366.16,366.36,803713,370.8314,
2026-07-16 14:30:00,366.35,366.91,366.13,366.4,436800,370.68260000000004,
2026-07-16 14:35:00,366.39,366.92,366.17,366.24,423300,370.5266,
2026-07-16 14:40:00,366.5,366.62,365.5,366.11,811400,370.36879999999996,
2026-07-16 14:45:00,366.21,366.59,365.66,366.04,738284,370.2164,
2026-07-16 14:50:00,366.03,366.04,365.01,365.08,825874,370.03839999999997,
2026-07-16 14:55:00,365.1,366.02,365.1,366.02,773749,369.88199999999995,
2026-07-16 15:00:00,366.01,366.77,366.01,366.2,548134,369.7404,
2026-07-17 09:35:00,372.3,374.99,367.4,374.97,4648392,369.7724,
2026-07-17 09:40:00,374.83,374.98,373.07,373.87,1773739,369.78979999999996,
2026-07-17 09:45:00,373.81,375.2,372.62,372.62,1351813,369.88879999999995,
2026-07-17 09:50:00,372.41,374.21,371.99,372.15,1062608,369.9954,
2026-07-17 09:55:00,372.06,374.1,368.5,368.5,1153800,369.9654,
2026-07-17 10:00:00,368.2,368.86,366.4,366.4,1152500,369.8996000000001,
2026-07-17 10:05:00,366.25,366.5,364.63,366.31,936100,369.8298,
2026-07-17 10:10:00,366.31,367.16,365.94,367.16,504704,369.78659999999996,
2026-07-17 10:15:00,367.49,369.17,367.48,368.21,607100,369.7917999999999,
2026-07-17 10:20:00,368.21,368.24,367.19,367.3,560300,369.75440000000003,
2026-07-17 10:25:00,367.44,368.54,367.29,368.54,350900,369.7832,
2026-07-17 10:30:00,368.5,369.49,367.41,368.5,467506,369.7903999999999,
2026-07-17 10:35:00,368.5,369.0,367.62,368.74,553440,369.7784,
2026-07-17 10:40:00,368.94,370.22,368.5,368.75,770800,369.74580000000003,
2026-07-17 10:45:00,368.87,369.04,367.68,367.9,533200,369.6372,
2026-07-17 10:50:00,367.77,368.3,367.02,367.46,458775,369.51520000000005,
2026-07-17 10:55:00,367.37,368.17,366.6,367.08,482100,369.38779999999997,
2026-07-17 11:00:00,367.0,367.39,366.0,366.35,435900,369.2676,
2026-07-17 11:05:00,366.38,369.32,365.66,369.18,853980,369.199,
2026-07-17 11:10:00,369.18,371.3,368.68,370.02,817300,369.14420000000007,
2026-07-17 11:15:00,369.95,369.95,367.3,367.76,582300,369.0492,
2026-07-17 11:20:00,367.77,368.15,366.6,367.43,613300,368.9292,
2026-07-17 11:25:00,367.55,367.59,366.51,367.48,725600,368.837,
